,Job-Titles,Department,Salary-interval,Zip
179,LEGISLATIVE AIDE,CITY COUNCIL,"60155.47341914715,89844.52658085285",6270
180,FREEDOM OF INFORMATION ACT OFFICER,POLICE,"60155.47341914715,89844.52658085285",20200
181,ACCOUNTANT IV,FINANCE,"85931.47341914715,115620.52658085285",2850
182,ENVIRONMENTAL ENGINEER III,HEALTH,"95219.47341914715,124908.52658085285",2840
183,CONSTRUCTION LABORER,WATER MGMNT,"68771.47341914715,98460.52658085285",26570
184,TRAFFIC CONTROL AIDE-HOURLY,OEMC,"60155.47341914715,89844.52658085285",26100
185,CIVIL ENGINEER III,TRANSPORTN,"85931.47341914715,115620.52658085285",33240
186,LIBRARY PAGE,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",51480
187,PUBLIC HEALTH ADMINISTRATOR I,HEALTH,"60155.47341914715,89844.52658085285",8210
188,ASST CORPORATION COUNSEL I,LAW,"60155.47341914715,89844.52658085285",32380
189,POLICE COMMUNICATIONS OPERATOR I,OEMC,"66311.47341914715,96000.52658085285",31220
190,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",30260
191,FIRE COMMUNICATIONS OPERATOR II,OEMC,"80867.47341914715,110556.52658085285",31560
192,LIBRARIAN I,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",1300
193,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,"76493.47341914715,106182.52658085285",33500
194,ADMINISTRATIVE ASST III,BUSINESS AFFAIRS,"60155.47341914715,89844.52658085285",7200
195,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",29270
196,FIRE ENGINEER-EMT,FIRE,"88505.47341914715,118194.52658085285",30340
197,SERGEANT,POLICE,"96629.47341914715,126318.52658085285",33220
198,ASST CHIEF AIRPORT OPERATIONS SUPVSR,AVIATION,"107435.47341914715,137124.52658085286",32190
199,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",32310
200,CHIEF ENGINEER OF SEWERS,WATER MGMNT,"110471.47341914715,140160.52658085286",31590
201,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",7340
202,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",20220
203,POOL MOTOR TRUCK DRIVER,AVIATION,"60155.47341914715,89844.52658085285",32500
204,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"89087.47341914715,118776.52658085285",3430
205,FIREFIGHTER (PER ARBITRATORS AWARD),FIRE,"86135.47341914715,115824.52658085285",33760
206,POLICE OFFICER/EXPLSV DETECT K9 HNDLR,POLICE,"79679.47341914715,109368.52658085285",5700
207,BRIDGE OPERATOR,TRANSPORTN,"60155.47341914715,89844.52658085285",20246
208,SERGEANT,POLICE,"96629.47341914715,126318.52658085285",32380
209,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",52700
210,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",3380
211,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",29160
212,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",20251
213,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",31350
214,FIREFIGHTER-EMT,FIRE,"70025.47341914715,99714.52658085285",20270
215,FIREFIGHTER-EMT,FIRE,"77429.47341914715,107118.52658085285",31110
216,DEPUTY COMMISSIONER,COMMUNITY DEVELOPMENT,"105467.47341914715,135156.52658085286",4510
217,MOTOR TRUCK DRIVER,AVIATION,"60155.47341914715,89844.52658085285",7290
218,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",31440
219,ANIMAL CARE AIDE I,ANIMAL CONTRL,"60155.47341914715,89844.52658085285",2290
220,COORD OF SPECIAL PROJECTS,HEALTH,"78455.47341914715,108144.52658085285",2130
221,POOL MOTOR TRUCK DRIVER,AVIATION,"60155.47341914715,89844.52658085285",2250
222,SANITATION CLERK,STREETS & SAN,"60155.47341914715,89844.52658085285",27220
223,PARAMEDIC I/C,FIRE,"76235.47341914715,105924.52658085285",27680
224,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",1090
225,EDITORIAL ASST,CITY CLERK,"60155.47341914715,89844.52658085285",9320
226,SERGEANT,POLICE,"89783.47341914715,119472.52658085285",50310
227,SENIOR CLERK-ELECTIONS,BOARD OF ELECTION,"60155.47341914715,89844.52658085285",20290
228,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",20256
229,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",20220
230,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",3110
231,ANIMAL CONTROL OFFICER,ANIMAL CONTRL,"60155.47341914715,89844.52658085285",1380
232,POLICE OFFICER,POLICE,"61421.47341914715,91110.52658085285",32720
233,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",30500
234,STREET LIGHT REPAIR WORKER,TRANSPORTN,"86867.47341914715,116556.52658085285",30450
235,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",33240
236,POLICE OFFICER,POLICE,"65171.47341914715,94860.52658085285",31110
237,POLICE OFFICER / FLD TRNG OFFICER,POLICE,"73451.47341914715,103140.52658085285",20251
238,MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",31390
239,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",8460
240,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",7190
241,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",31220
242,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",28330
243,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",29270
244,ADMINISTRATIVE SERVICES OFFICER II,TRANSPORTN,"91607.47341914715,121296.52658085285",30260
245,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",8400
246,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"89087.47341914715,118776.52658085285",32400
247,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,"86135.47341914715,115824.52658085285",32290
248,POOL MOTOR TRUCK DRIVER,AVIATION,"60155.47341914715,89844.52658085285",52230
249,POLICE OFFICER / FLD TRNG OFFICER,POLICE,"76493.47341914715,106182.52658085285",3320
250,SERGEANT,POLICE,"86597.47341914715,116286.52658085285",27380
251,LOAD DISPATCHER,TRANSPORTN,"86867.47341914715,116556.52658085285",27120
252,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",34660
253,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",30290
254,PROGRAMMER/ANALYST,BUSINESS AFFAIRS,"77543.47341914715,107232.52658085285",8400
255,LIBRARIAN I,PUBLIC LIBRARY,"61703.47341914715,91392.52658085285",2100
256,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",30190
257,FIRE ENGINEER-EMT,FIRE,"88505.47341914715,118194.52658085285",33820
258,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",2420
259,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",8390
260,FIREFIGHTER-EMT,FIRE,"70025.47341914715,99714.52658085285",2100
261,LIEUTENANT-EMT,FIRE,"99479.47341914715,129168.52658085285",2190
262,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",33710
263,LABORER,AVIATION,"60155.47341914715,89844.52658085285",32260
264,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",26410
265,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",29950
266,CHIEF PROGRAMMER/ANALYST,WATER MGMNT,"109583.47341914715,139272.52658085286",52110
267,PARKING ENFORCEMENT AIDE,FINANCE,"60155.47341914715,89844.52658085285",33710
268,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",2500
269,CHIEF VOUCHER EXPEDITER,TRANSPORTN,"60155.47341914715,89844.52658085285",27250
270,DEPUTY COMMISSIONER,AVIATION,"107975.47341914715,137664.52658085286",20252
271,CRIMINAL HISTORY ANALYST,POLICE,"73499.47341914715,103188.52658085285",4250
272,SENIOR RESEARCH ANALYST,COMMUNITY DEVELOPMENT,"69671.47341914715,99360.52658085285",28310
273,DATA ENTRY OPERATOR,TRANSPORTN,"60155.47341914715,89844.52658085285",1360
274,FIELD SERVICE SPECIALIST II,TRANSPORTN,"60155.47341914715,89844.52658085285",30700
275,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",31510
276,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",52150
277,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",20137
278,LIBRARY CLERK - HOURLY,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",28410
279,CAPTAIN-EMT,FIRE,"121949.47341914715,151638.52658085286",4120
280,PERSONAL COMPUTER OPERATOR I,POLICE,"60155.47341914715,89844.52658085285",51300
281,PUBLIC HEALTH NURSE IV,HEALTH,"92435.47341914715,122124.52658085285",5150
282,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",52330
283,CROSSING GUARD - PER CBA,OEMC,"60155.47341914715,89844.52658085285",27480
284,PROJECTS ADMINISTRATOR,FINANCE,"77195.47341914715,106884.52658085285",29950
285,POLICE OFFICER,POLICE,"65171.47341914715,94860.52658085285",2850
286,LIBRARIAN I,PUBLIC LIBRARY,"60155.47341914715,89844.52658085285",20229
287,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",33480
288,MOTOR TRUCK DRIVER,AVIATION,"60155.47341914715,89844.52658085285",28230
289,MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",1510
290,POOL MOTOR TRUCK DRIVER,STREETS & SAN,"60155.47341914715,89844.52658085285",30190
291,TITLE V PROGRAM TRAINEE I,FAMILY & SUPPORT,"60155.47341914715,89844.52658085285",28000
292,PRINCIPAL CLERK-ELECTIONS,BOARD OF ELECTION,"60155.47341914715,89844.52658085285",27320
293,POLICE OFFICER/EXPLSV DETECT K9 HNDLR,POLICE,"86135.47341914715,115824.52658085285",26540
294,FIREFIGHTER-EMT,FIRE,"80639.47341914715,110328.52658085285",28200
295,POLICE OFFICER,POLICE,"60155.47341914715,89844.52658085285",33126
296,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",31440
297,OPERATING ENGINEER-GROUP A,GENERAL SERVICES,"83830.67341914715,113519.72658085285",27800
298,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"79277.47341914715,108966.52658085285",26170
299,WATER CHEMIST II,WATER MGMNT,"60155.47341914715,89844.52658085285",32230
300,TRAFFIC CONTROL AIDE-HOURLY,OEMC,"60155.47341914715,89844.52658085285",3390
301,POLICE OFFICER,POLICE,"81215.47341914715,110904.52658085285",7140
302,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",28630
303,SANITATION LABORER,STREETS & SAN,"60472.27341914715,90161.32658085285",1470
304,POOL MOTOR TRUCK DRIVER,TRANSPORTN,"60155.47341914715,89844.52658085285",20243
305,POLICE OFFICER,POLICE,"72161.47341914715,101850.52658085285",28250
306,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,"76493.47341914715,106182.52658085285",4250
307,SANITATION CLERK,STREETS & SAN,"60155.47341914715,89844.52658085285",2420
308,TRAFFIC CONTROL AIDE-HOURLY,OEMC,"60155.47341914715,89844.52658085285",29850
309,POLICE COMMUNICATIONS OPERATOR I,OEMC,"60155.47341914715,89844.52658085285",2200
310,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",32290
311,POLICE OFFICER,POLICE,"69209.47341914715,98898.52658085285",27160
312,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",3210
313,POLICE OFFICER,POLICE,"78509.47341914715,108198.52658085285",52360
314,SENIOR COMPANION,FAMILY & SUPPORT,"60155.47341914715,89844.52658085285",32230
315,ACCOUNTANT II,FINANCE,"69671.47341914715,99360.52658085285",28400
316,CIVIL ENGINEER IV,TRANSPORTN,"60155.47341914715,89844.52658085285",2400
317,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,"86135.47341914715,115824.52658085285",2220
318,MACHINIST (AUTOMOTIVE),GENERAL SERVICES,"81563.47341914715,111252.52658085285",52330
319,POLICE OFFICER,POLICE,"75179.47341914715,104868.52658085285",51260
